"filename", "language", "JSON", "Python", "HTML", "pip requirements", "Markdown", "comment", "blank", "total"
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/README.md", "Markdown", 0, 0, 0, 0, 2, 0, 1, 3
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/api.py", "Python", 0, 149, 0, 0, 0, 14, 33, 196
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/bad-tags.html", "HTML", 0, 0, 6, 0, 0, 0, 0, 6
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/generate_insurance_plans.py", "Python", 0, 210, 0, 0, 0, 99, 85, 394
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/insurance_agent.py", "Python", 0, 399, 0, 0, 0, 103, 133, 635
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/insurance_models.py", "Python", 0, 127, 0, 0, 0, 0, 1, 128
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/package-lock.json", "JSON", 212, 0, 0, 0, 0, 0, 1, 213
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/package.json", "JSON", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/requirements.txt", "pip requirements", 0, 0, 0, 47, 0, 0, 1, 48
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/schemas.py", "Python", 0, 94, 0, 0, 0, 0, 32, 126
"/Users/neelashabhattacharjee/ai-projects/cigna-insurance-chatbot/smart_scraper.py", "Python", 0, 203, 0, 0, 0, 22, 55, 280
"Total", "-", 217, 1182, 6, 47, 2, 238, 343, 2035
